SITE	MHAB	Punto	LABEL	OX	OY	SITE	SITE*	MICRO	MICROCAMPO	PUNTO	PMAH_sd	PMAH_pl	TBAC_sd	TBAC_pl	BVUL_sd	BVUL_pl	BVUL_pl2	CMON_sd	CMON_pl	CMON_pl2	PNIG_sd	PNIG_pl	PNIG_pl2	RSAX_sd	RSAX_pl	RSAX_pl2	HHEL_sd	HHEL_pl	HHEL_pl2	ROSA_sd	ROSA_pl	ROSA_pl2	LARB_sd	LARB_pl	LARB_pl2	JPHO_sd	JPHO_pl	JPHO_pl2	JCOM_sd	JCOM_pl	JCOM_pl2	AGRA_sd	AGRA_pl	AGRA_pl2	AITA_sd	AITA_pl	AITA_pl2
CAL	P	20	CALP20	-159.71	-141.41	CAL	CAL	P	P	20	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	R	1	CALR1	31.63	34.23	CAL	CAL	R	R	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CAL	R	2	CALR2	28.34	34.89	CAL	CAL	R	R	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	R	3	CALR3	27.99	41.77	CAL	CAL	R	R	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	R	4	CALR4	25.48	51.14	CAL	CAL	R	R	4	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	R	5	CALR5	23.21	52.1	CAL	CAL	R	R	5	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
CAL	R	6	CALR6	-3.65	42.35	CAL	CAL	R	R	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	R	7	CALR7	-6.48	44.73	CAL	CAL	R	R	7	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	R	8	CALR8	-10.39	48	CAL	CAL	R	R	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	R	9	CALR9	-15.01	50.16	CAL	CAL	R	R	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
CAL	R	10	CALR10	-12.61	47.41	CAL	CAL	R	R	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0
CAL	R	11	CALR11	-84.29	61.93	CAL	CAL	R	R	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	R	12	CALR12	-82.62	63.66	CAL	CAL	R	R	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	R	13	CALR13	-79.64	68.08	CAL	CAL	R	R	13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CAL	R	14	CALR14	-90.87	66.23	CAL	CAL	R	R	14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	R	15	CALR15	-92.41	68	CAL	CAL	R	R	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	R	16	CALR16	-117.04	-100.67	CAL	CAL	R	R	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	R	17	CALR17	-118.39	-103.57	CAL	CAL	R	R	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
