n	state	seedling	eppendorf	site	microhabitat	ref	xref	yref	distance	angle	anglerad	x	y
56	SDL	SDL56	SDL39	OUT	PINO	PINO 01	274,9311854	304,686462	13,8	10	0,174532925	277,3275303	318,276809
57	SDL	SDL57	SDL40	OUT	PINO	PINO 01	274,9311854	304,686462	17,9	0	0	274,9311854	322,586462
58	SDL	SDL58	SDL41	OUT	PINO	PINO 01	274,9311854	304,686462	15	335	5,846852994	268,5919115	318,2810788
59	SDL	SDL59	SDL42	OUT	PINO	PINO 01	274,9311854	304,686462	14,9	30	0,523598776	282,3811854	317,5902405
60	SDL	SDL60	SDL43	OUT	PINO	PINO 01	274,9311854	304,686462	9,9	15	0,261799388	277,493494	314,2491277
61	SDL	SDL61	SDL80	OUT	N	1827	281,693	271,871	13,5	195	3,403392041	278,1989429	258,8310013
62	SDL	SDL62	SDL81	OUT	N	1827	281,693	271,871	13,5	195	3,403392041	278,1989429	258,8310013
63	SDL	SDL63	SDL82	OUT	N	1827	281,693	271,871	13,5	195	3,403392041	278,1989429	258,8310013
64	SDL	SDL64	SDL83	OUT	N	1827	281,693	271,871	13,5	195	3,403392041	278,1989429	258,8310013
65	SDL	SDL65	SDL84	OUT	N	1933	246,259	236,33	3,7	60	1,047197551	249,463294	238,18
66	SDL	SDL66	SDL85	OUT	N	1933	246,259	236,33	3,7	60	1,047197551	249,463294	238,18
67	SDL	SDL67	SDL86	OUT	N	1933	246,259	236,33	3,7	60	1,047197551	249,463294	238,18
68	SDL	SDL68	SDL87	OUT	N	1933	246,259	236,33	3,7	60	1,047197551	249,463294	238,18
69	SDL	SDL69	SDL88	OUT	N	1933	246,259	236,33	8,2	145	2,530727415	250,9623268	229,6129532
70	SDL	SDL70	SDL89	OUT	N	1933	246,259	236,33	8,2	145	2,530727415	250,9623268	229,6129532
71	SDL	SDL71	SDL90	OUT	N	1933	246,259	236,33	8,2	145	2,530727415	250,9623268	229,6129532
72	SDL	SDL72	SDL91	OUT	N	1933	246,259	236,33	8,2	145	2,530727415	250,9623268	229,6129532
73	SDL	SDL73	SDL92	OUT	N	1121	415,086	648,906	28,9	10	0,174532925	420,1044323	677,3669441
74	SDL	SDL74	SDL93	OUT	N	1121	415,086	648,906	28,9	10	0,174532925	420,1044323	677,3669441
75	SDL	SDL75	SDL94	OUT	N	1121	415,086	648,906	28,9	10	0,174532925	420,1044323	677,3669441
76	SDL	SDL76	SDL95	OUT	N	1121	415,086	648,906	28,9	10	0,174532925	420,1044323	677,3669441
77	SDL	SDL77	SDL96	OUT	N	1834	330,242	387,849	7,2	160	2,792526803	332,704545	381,0832131
78	SDL	SDL78	SDL97	OUT	N	1834	330,242	387,849	7,2	160	2,792526803	332,704545	381,0832131
79	SDL	SDL79	SDL98	OUT	N	1834	330,242	387,849	7,2	160	2,792526803	332,704545	381,0832131
80	SDL	SDL80	SDL99	OUT	N	1834	330,242	387,849	7,2	160	2,792526803	332,704545	381,0832131
81	SDL	SDL81	SDL100	OUT	SUELO	1095	317,394	360,297	10,2	350	6,108652382	315,6227886	370,3420391
82	SDL	SDL82	SDL101	OUT	SUELO	1095	317,394	360,297	10,2	350	6,108652382	315,6227886	370,3420391
83	SDL	SDL83	SDL102	OUT	SUELO	1095	317,394	360,297	10,2	350	6,108652382	315,6227886	370,3420391
84	SDL	SDL84	SDL103	OUT	SUELO	1095	317,394	360,297	11,7	350	6,108652382	315,3623163	371,8192507
85	SDL	SDL85	SDL104	OUT	SUELO	1095	317,394	360,297	11,7	350	6,108652382	315,3623163	371,8192507
86	SDL	SDL86	SDL105	OUT	SUELO	1095	317,394	360,297	11,7	350	6,108652382	315,3623163	371,8192507
87	SDL	SDL87	SDL106	OUT	SUELO	1095	317,394	360,297	12,7	350	6,108652382	315,1886681	372,8040585
88	SDL	SDL88	SDL107	OUT	SUELO	1095	317,394	360,297	12,7	350	6,108652382	315,1886681	372,8040585
89	SDL	SDL89	SDL108	OUT	SUELO	1834	330,242	387,849	6,9	20	0,34906585	332,601939	394,3328791
