orden	loc	area	mhab1	mhab2	point	name	ox	oy	x	y	species	code	year	n	densm2
56120	IN	NEW	A	A	62	I0062	129,18	259,58	329,18	559,58	Pmah	seedling	1997	0	0,00
56121	IN	NEW	A	A	63	I0063	108,85	326,34	308,85	626,34	Rspp	seedling	1997	0	0,00
56122	IN	NEW	A	A	64	I0064	120,93	360,33	320,93	660,33	Larb	seedling	1997	0	0,00
56123	IN	NEW	A	A	65	I0065	129,26	371,53	329,26	671,53	Cmon	seedling	1997	0	0,00
56124	IN	NEW	A	A	66	I0066	102,33	381,64	302,33	681,64	Jpho	seedling	1997	0	0,00
56125	IN	NEW	A	A	67	I0067	100,03	385,43	300,03	685,43	Jpho	seedling	1997	0	0,00
56126	IN	NEW	A	A	71	I0071	24,17	346,32	224,17	646,32	Cmon	seedling	1997	0	0,00
56127	IN	NEW	A	A	72	I0072	-4,14	288,12	195,86	588,12	Cmon	seedling	1997	0	0,00
56128	IN	NEW	A	A	73	I0073	56,88	212,38	256,88	512,38	Pmah	seedling	1997	0	0,00
56129	IN	NEW	A	A	74	I0074	65,82	202,81	265,82	502,81	Pmah	seedling	1997	1	6,02
56130	IN	NEW	A	A	75	I0075	74,83	389,47	274,83	689,47	Jpho	seedling	1997	0	0,00
56131	IN	NEW	A	A	76	I0076	79,74	386,03	279,74	686,03	Jpho	seedling	1997	0	0,00
56132	IN	NEW	A	A	77	I0077	76,96	382,35	276,96	682,35	Jpho	seedling	1997	0	0,00
56133	IN	NEW	A	A	78	I0078	93,66	254,79	293,66	554,79	Jpho	seedling	1997	2	12,05
56134	IN	NEW	A	A	54b	I0054b	18,39	281,15	218,39	581,15	Rspp	seedling	1997	0	0,00
56135	IN	NEW	B	B	41	INB41	36,26	285,24	236,26	585,24	Jcom	seedling	1997	0	0,00
56136	IN	NEW	B	B	42	INB42	28,37	287,65	228,37	587,65	Jcom	seedling	1997	0	0,00
56137	IN	NEW	B	B	43	INB43	25,32	296,01	225,32	596,01	Bvul	seedling	1997	0	0,00
56138	IN	NEW	B	B	44	INB44	18,67	305,51	218,67	605,51	Bvul	seedling	1997	0	0,00
56139	IN	NEW	B	B	45	INB45	28,06	308,5	228,06	608,50	Bvul	seedling	1997	0	0,00
56140	IN	NEW	B	B	46	INB46	24,99	311,07	224,99	611,07	Jcom	seedling	1997	0	0,00
56141	IN	NEW	B	B	47	INB47	38,18	331,89	238,18	631,89	Jcom	seedling	1997	0	0,00
56142	IN	NEW	B	B	48	INB48	43,88	331,09	243,88	631,09	Bvul	seedling	1997	0	0,00
56143	IN	NEW	B	B	49	INB49	52,54	349,67	252,54	649,67	Jcom	seedling	1997	0	0,00
56144	IN	NEW	B	B	50	INB50	40,78	363,25	240,78	663,25	Bvul	seedling	1997	0	0,00
56145	IN	NEW	B	B	51	INB51	51,58	371,55	251,58	671,55	Jcom	seedling	1997	0	0,00
