Prunus mahaleb, 11 loci microsatellites, 10 poplations
Fam001 FamMg3 Fam018 Tet403 TetE02 TetMC4 TetMC5 Hex406 Hex402 HexA05 HexH03                                                           
Pop
NC_968    ,    119119    178190    244246    104124    167183    221228    231231    097097    132146    198198    259289
NC_969    ,    117119    176178    244246    104112    167183    221221    231231    095097    142146    198200    257271
NC_970    ,    117119    178196    244246    104112    167167    221226    231235    097097    132142    198198    271273
NC_971    ,    119127    192194    246246    104112    167183    221226    231235    095097    132136    198200    273283
NC_972    ,    119127    176192    244244    106112    167173    221226    231235    097101    132136    194198    257273
NC_973    ,    117119    178192    244244    102104    173183    226226    231231    095097    132142    198198    271273
NC_974    ,    119127    196206    246246    104112    167183    221228    235235    097107    116116    198198    261271
NC_975    ,    119127    178192    244246    112116    173173    221228    231231    095097    132132    198200    251261
NC_976    ,    127127    178192    244246    104112    173173    221226    231235    093097    132146    198198    273283
NC_977    ,    119127    194196    244246    102112    167169    226228    231235    095097    132132    198200    271273
NC_978    ,    119127    194196    244244    102102    167173    221228    231235    095097    132132    194198    251261
NC_979    ,    119127    194206    244246    102116    169173    221228    231231    095097    132132    198200    271273
NC_980    ,    127127    178196    244246    102118    167173    226228    231235    097097    132132    198198    261273
NC_981    ,    117127    178192    244246    102112    173183    000000    231235    097097    132148    198202    261271
NC_982    ,    117119    178192    244246    112116    173173    221226    235235    095097    132146    198198    251261
NC_983    ,    119127    178192    244244    102112    173183    221226    231231    093097    132142    194198    273283
NC_984    ,    117119    192196    246246    102106    167173    228228    231231    093097    132132    198198    261273
NC_985    ,    117119    176192    244244    112112    143173    221226    231235    097097    132146    194198    261267
Pop
RB_CAR3   ,    119127    204206    244244    104110    173173    221226    231235    095095    136144    198198    257295
RB_CAR5   ,    127127    186186    244244    104104    161161    226226    235235    101101    116116    194198    261269
RB_CAR6   ,    127127    186194    244244    104104    143143    226226    231231    095101    116116    198198    261269
RB_R7     ,    127127    186194    244244    104104    161161    226226    235235    095101    134134    194198    269269
RB_R8     ,    119119    192192    246246    112122    173173    221221    231231    101101    134134    200200    269269
RB_R9     ,    119119    204204    246246    104104    143143    221221    231231    095095    136136    198198    263263
RB_RBR1   ,    117117    176206    246246    124124    185185    221228    231231    095095    144144    200200    257257
RB_RBR3   ,    127127    186186    244244    104104    143143    226226    231231    095101    116116    198198    261261
