MICROHAB	POINT	NAME	TREE	NEWX	NEWY	SPECIES MHAB
A	16	INA16		69.6	421.7	
A	17	INA17		71.0	428.3	
A	18	INA18		58.8	454.1	
A	19	INA19		247.2	455.7	
A	20	INA20		252.1	455.3	
A	21	INA21		260.0	453.2	
A	22	INA22		261.4	458.3	
A	23	INA23		261.2	448.6	
A	24	INA24		255.0	431.4	
A	25	INA25		241.9	415.9	
A	26	INA26		232.8	411.7	
A	27	INA27		219.6	437.1	
A	28	INA28		240.8	407.1	
A	29	INA29		239.4	397.9	
A	30	INA30		242.3	395.5	
A	31	INA31		228.4	380.4	
A	32	INA32		216.3	356.9	
A	33	INA33		194.9	315.8	
A	34	INA34		140.0	283.6	
A	35	INA35		135.8	292.9	
A	36	INA36		135.8	307.6	
A	37	INA37		133.1	317.5	
A	38	INA38		111.8	310.5	
A	39	INA39		129.0	348.8	
A	40	INA40		240.4	428.5	
A	41	INA41		144.0	280.3	
A	42	INA42		137.5	286.7	
A	43	INA43		140.8	298.4	
A	44	INA44		128.7	307.0	
A	45	INA45		129.7	301.5	
A	46	INA46		132.6	313.2	
A	47	INA47		131.7	314.7	
A	48	INA48		125.6	315.7	
A	49	INA49		149.1	320.5	
A	50	INA50		214.9	404.5	
A	51	INA51		137.4	288.8	Prunus_357
A	52	INA52		134.5	287.3	Prunus_?Frente A51
A	53	INA53		177.6	320.5	
A	54a	INA54a		180.7	325.4	
A	54b	INA54a		218.4	581.2	
A	55	INA55		218.3	594.8	
A	56	INA56		225.8	603.8	
A	57	INA57		227.4	615.8	
A	58	INA58		222.6	640.8	
A	59	INA59		233.4	645.5	
A	60	INA60		334.9	583.4	
A	61	INA61		322.3	571.9	
A	62	INA62		329.2	559.6	
A	63	INA63		308.9	626.3	
A	64	INA64		320.9	660.3	
A	65	INA65		329.3	671.5	
A	66	INA66		302.3	681.6	
A	67	INA67		300.0	685.4	
A	68	INA68		157.6	533.2	Lonicera arborea
A	69	INA69		156.0	540.7	Lonicera arborea
A	70	INA70		76.1	483.6	Lonicera arborea
A	71	INA71		224.2	646.3	
A	72	INA72		195.9	588.1	
A	73	INA73		256.9	512.4	
A	74	INA74		265.8	502.8	
A	75	INA75		274.8	689.5	
A	76	INA76		279.7	686.0	
A	77	INA77		277.0	682.4	
A	78	INA78		293.7	554.8	
A	79	INA79		140.0	445.3	
A	80	INA80		134.9	371.0	
a	1	INa1		277.8	461.2	Berberis vulagris
a	2	INa2		262.1	465.3	Juniperus communis
a	3	INa3		249.8	479.1	Rhamnus saxatilis
a	4	INa4		209.9	463.9	Juniperus communis
a	5	INa5		196.7	476.0	Rhamnus saxatilis
a	6	INa6		175.1	492.3	Rhamnus saxatilis
a	7	INa7		136.6	509.1	Berberis vulagris
a	8	INa8		141.9	469.9	Berberis vulagris
a	9	INa9		144.2	446.3	Juniperus communis
a	10	INa10		111.9	439.7	
a	11	INa11		153.2	454.0	
a	12	INa12		133.9	463.5	
a	13	INa13		123.7	447.8	
a	14	INa14		104.2	424.2	
