SITE	MHAB	POINT	LABEL	OX	OY	x	y	AREA	SITE2	MICRO	MICROCAMPO	sdl97	sd9798	sdl98	sd9899	sdl99	sd9900	sd	sdl
IN	A	76	INA76	79.74	386.03	279.74	686.03	IN	NEW	A	A	0	0	0	1	0	0	1	0
IN	A	77	INA77	76.96	382.35	276.96	682.35	IN	NEW	A	A	0	0	0	1	0	1	2	0
IN	A	78	INA78	93.66	254.79	293.66	554.79	IN	NEW	A	A	2	2	0	0	1	7	9	3
IN	A	54b	INA54a	18.39	281.15	218.39	581.15	IN	NEW	A	A	0	0	0	0	0	0	0	0
IN	a	41	INa41	36.26	285.24	236.26	585.24	IN	NEW	a	a	0	0	0	0	0	0	0	0
IN	a	42	INa42	28.37	287.65	228.37	587.65	IN	NEW	a	a	0	0	0	0	0	0	0	0
IN	a	43	INa43	25.32	296.01	225.32	596.01	IN	NEW	a	a	0	0	0	0	0	0	0	0
IN	a	44	INa44	18.67	305.51	218.67	605.51	IN	NEW	a	a	0	0	0	0	0	0	0	0
IN	a	45	INa45	28.06	308.50	228.06	608.50	IN	NEW	a	a	0	0	0	0	0	1	1	0
IN	a	46	INa46	24.99	311.07	224.99	611.07	IN	NEW	a	a	0	0	0	0	0	0	0	0
IN	a	47	INa47	38.18	331.89	238.18	631.89	IN	NEW	a	a	0	0	0	0	0	0	0	0
IN	a	48	INa48	43.88	331.09	243.88	631.09	IN	NEW	a	a	0	0	0	0	0	0	0	0
IN	a	49	INa49	52.54	349.67	252.54	649.67	IN	NEW	a	a	0	0	0	0	0	0	0	0
IN	a	50	INa50	40.78	363.25	240.78	663.25	IN	NEW	a	a	0	0	0	0	0	0	0	0
IN	a	51	INa51	51.58	371.55	251.58	671.55	IN	NEW	a	a	0	0	0	0	0	0	0	0
IN	a	52	INa52	51.44	374.95	251.44	674.95	IN	NEW	a	a	0	0	0	0	0	0	0	0
IN	a	53	INa53	54.91	384.49	254.91	684.49	IN	NEW	a	a	0	0	0	0	0	0	0	0
IN	a	54	INa54	43.99	399.41	243.99	699.41	IN	NEW	a	a	0	0	0	0	0	0	0	0
IN	a	55	INa55	53.19	403.70	253.19	703.70	IN	NEW	a	a	0	0	0	0	0	0	0	0
IN	a	56	INa56	49.79	409.59	249.79	709.59	IN	NEW	a	a	0	0	0	0	0	0	0	0
