SITE	MHAB	DENOM	OX	OY	SEEDS	SEEDL
IN	P	INP62	-32.73	172.55	1	4
IN	P	INP63	-42.05	180.38	1	3
IN	P	INP64	-55.94	202.01	.	.
IN	P	INP65	-53.06	186.13	1	1
IN	P	INP66	-74.68	196.28	.	.
IN	P	INP67	-73.72	199.63	.	.
IN	P	INP68	-62.85	204.36	.	.
IN	P	INP69	-76.2	213.71	0	1
IN	P	INP7	27.2	283.04	.	.
IN	P	INP70	-82.87	211.93	.	.
IN	P	INP71	20.02	171.16	2	2
IN	P	INP72	19.39	178.35	1	3
IN	P	INP73	20.06	164.82	8	0
IN	P	INP74	14.43	164.96	0	3
IN	P	INP75	10.5	165.66	2	1
IN	P	INP76	6.14	159.43	3	0
IN	P	INP77	3.33	177.61	1	1
IN	P	INP78	-3.08	180.2	1	0
IN	P	INP79	-12.29	174.76	2	1
IN	P	INP8	14.76	302.11	0	1
IN	P	INP80	-29	186.46	3	9
IN	P	INP9	-3.42	311.26	.	.
IN	Poste esq. N	INPoste esq. N	65.12	451.03	.	.
IN	Poste esq. S	INPoste esq. S	0	0	.	.
IN	R	INR1	55.89	162.22	1	0
IN	R	INR10	56.24	136.93	.	.
IN	R	INR11	-61.06	144.88	.	.
IN	R	INR12	-62.86	147.64	.	.
IN	R	INR13	-64.32	145.26	.	.
IN	R	INR14	-65.91	141.86	1	0
IN	R	INR15	-62.65	144.3	.	.
IN	R	INR16	-44.89	5.2	.	.
IN	R	INR17	-39.59	9.28	.	.
IN	R	INR18	-37.28	9.9	.	.
IN	R	INR19	-36.11	5.94	4	0
IN	R	INR2	55.37	165.17	1	0
IN	R	INR20	-42.37	3.83	.	.
IN	R	INR21	-64.78	25.56	2	0
IN	R	INR22	-68.73	27	.	.
IN	R	INR23	-73.62	28.78	.	.
IN	R	INR24	-81.7	25.94	.	.
IN	R	INR25	-83.25	23.33	.	.
IN	R	INR26	-65.59	65.31	.	.
IN	R	INR27	-64.01	66.94	.	.
IN	R	INR28	-68.78	71.31	.	.
IN	R	INR29	-70.08	68.67	.	.
IN	R	INR3	55.34	166.18	.	.
IN	R	INR30	-72.63	66.64	1	0
IN	R	INR31	-153.43	80.83	.	.
IN	R	INR32	-148.36	76.93	.	.
IN	R	INR33	-149.71	72.85	.	.
IN	R	INR34	-146.68	69.14	.	.
IN	R	INR35	-145.19	63.16	.	.
IN	R	INR36	-138.98	60.19	.	.
IN	R	INR37	-134.54	58.31	.	.
IN	R	INR38	-134.91	54.37	.	.
IN	R	INR39	-134.13	47.4	.	.
IN	R	INR4	52.12	165.34	.	.
IN	R	INR40	-131.43	42.73	.	.
IN	R	INR41	1.33	171.62	.	.
IN	R	INR42	-1.8	172.25	1	0
IN	R	INR43	-5.77	174.05	.	.
IN	R	INR44	-8.53	170.76	2	0
IN	R	INR45	-11.79	167.5	2	0
IN	R	INR46	91.68	213.66	2	0
IN	R	INR47	90.1	215.55	.	.
IN	R	INR48	91.06	214.7	1	0
IN	R	INR49	96.91	217.53	.	.
IN	R	INR5	59.54	162.86	2	0
IN	R	INR50	95.42	214.23	1	0
IN	R	INR51	79.86	219.66	2	0
IN	R	INR52	81.61	219.8	.	.
IN	R	INR53	78.91	222.72	1	0
IN	R	INR54	77.01	223.66	1	0
IN	R	INR55	80.34	224.77	.	.
IN	R	INR56	81.18	224.51	.	.
IN	R	INR57	82.72	226.11	1	0
IN	R	INR58	81.92	226.84	.	.
IN	R	INR59	80.94	227.81	1	0
IN	R	INR6	56.62	143.3	2	0
IN	R	INR60	83.21	228.87	3	0
IN	R	INR61	84.03	226.61	2	0
IN	R	INR62	90.1	225.65	1	0
IN	R	INR63	91.01	228.87	.	.
IN	R	INR64	87.39	235	.	.
IN	R	INR65	83.1	237.49	1	0
IN	R	INR66	80.34	245.63	.	.
IN	R	INR67	87.34	249.14	.	.
IN	R	INR68	99.01	257.29	.	.
IN	R	INR69	95.37	259.49	.	.
IN	R	INR7	50.89	141.63	2	0
IN	R	INR70	92.27	262.67	.	.
IN	R	INR71	79.3	362.75	.	.
IN	R	INR72	83.54	371.17	.	.
IN	R	INR73	89.32	371.23	.	.
IN	R	INR74	93.26	374.04	.	.
IN	R	INR75	95.34	370.82	.	.
IN	R	INR76	91.24	381.33	.	.
IN	R	INR77	95.04	383.1	.	.
IN	R	INR78	98.43	384.85	.	.
IN	R	INR79	101.99	387.5	.	.
IN	R	INR8	47.96	140.9	.	.
IN	R	INR80	107.91	395.52	.	.
IN	R	INR9	56.26	139.98	.	.
IN	S	INS1	61.6	163.22	.	.
IN	S	INS10	38.27	215.66	.	.
IN	S	INS11	64.45	153.17	.	.
IN	S	INS12	49.4	119.42	.	.
IN	S	INS13	41.48	101.58	.	.
IN	S	INS14	18.37	60.51	.	.
IN	S	INS15	-11.69	17.79	2	0
IN	S	INS16	-22.45	181.87	.	.
IN	S	INS17	-20.34	187.99	.	.
IN	S	INS18	-34.1	195.3	.	.
IN	S	INS19	-37.93	189.71	.	.
IN	S	INS2	61.47	179.82	.	.
IN	S	INS20	-33.6	183.89	.	.
IN	S	INS21	-126.72	113.39	.	.
IN	S	INS22	-121.52	122.4	.	.
IN	S	INS23	-119.72	125.51	.	.
IN	S	INS24	-105.19	131.66	.	.
IN	S	INS25	-47.9	186.46	.	.
IN	S	INS26	-59.07	175.52	.	.
IN	S	INS27	-62.49	159.37	.	.
IN	S	INS28	-63.07	146.29	.	.
IN	S	INS29	-99.03	135.37	.	.
IN	S	INS3	73.62	165.34	.	.
IN	S	INS30	-82.28	137.3	.	.
IN	S	INS31	-73.7	173.94	.	.
IN	S	INS32	-81.71	175.23	.	.
IN	S	INS33	-100.78	181.99	.	.
IN	S	INS34	-106.45	190.95	4	0
IN	S	INS35	-118.26	201.78	.	.
IN	S	INS36	-122.72	187.87	.	.
IN	S	INS37	-121.86	176.31	.	.
IN	S	INS38	-120.65	157.17	.	.
IN	S	INS39	-109.58	159.43	.	.
IN	S	INS4	69.17	190.55	.	.
IN	S	INS40	-102.19	165.95	.	.
IN	S	INS41	41.71	277.82	.	.
IN	S	INS42	36.17	264.13	.	.
IN	S	INS43	37.48	259.77	.	.
IN	S	INS44	41.55	254.01	.	.
IN	S	INS45	43.44	249.22	.	.
IN	S	INS46	45.09	243.34	.	.
IN	S	INS47	47.74	240.08	.	.
IN	S	INS48	50.82	238.22	.	.
IN	S	INS49	52.84	236.14	.	.
IN	S	INS5	59.84	203.21	.	.
IN	S	INS50	46.55	235.68	.	.
IN	S	INS51	30.14	279.63	.	.
IN	S	INS52	36.26	296.04	.	.
IN	S	INS53	43.38	311.8	.	.
IN	S	INS54	45.87	326.21	.	.
IN	S	INS55	77.1	356.52	.	.
IN	S	INS56	69.8	348.94	.	.
IN	S	INS57	49.08	303.95	.	.
IN	S	INS58	43.29	286.76	.	.
IN	S	INS59	46.06	279.07	.	.
IN	S	INS6	4.5	235.16	.	.
IN	S	INS60	54.59	321.54	.	.
IN	S	INS61	52.14	245.63	.	.
IN	S	INS62	57.11	244.62	.	.
IN	S	INS63	58.33	248.53	.	.
IN	S	INS64	64.1	247.05	.	.
IN	S	INS65	68.13	247.79	.	.
IN	S	INS66	70.1	250.41	.	.
IN	S	INS67	74.28	249.13	.	.
IN	S	INS68	75.89	253.34	.	.
IN	S	INS69	79.55	254.7	.	.
IN	S	INS7	13.53	232.98	.	.
IN	S	INS70	75.83	262.44	.	.
IN	S	INS71	87.14	264.33	.	.
IN	S	INS72	90.05	272.32	.	.
IN	S	INS73	91.56	276.46	.	.
IN	S	INS74	104.77	301.5	.	.
IN	S	INS75	109.14	304.06	.	.
